Ref_ID,Representative_Work,DOI,Criterion,Decision,Evidence_Location,Evidence_Text,Reviewer_Note
[5],MLonMCU,10.1145/3615338.3618128,Replay-driven,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[5],MLonMCU,10.1145/3615338.3618128,Offline↔firmware,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[5],MLonMCU,10.1145/3615338.3618128,Stage-wise,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[5],MLonMCU,10.1145/3615338.3618128,Exported contract artifacts,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[5],MLonMCU,10.1145/3615338.3618128,On-device reporting,Explicitly reported,Focused review,MLonMCU: TinyML Benchmarking with Fast Retargeting.,Check mark assigned only when explicit on-device reporting was identified in the reviewed paper.
[6],MLino bench,10.1016/j.sysarc.2024.103262,Replay-driven,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[6],MLino bench,10.1016/j.sysarc.2024.103262,Offline↔firmware,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[6],MLino bench,10.1016/j.sysarc.2024.103262,Stage-wise,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[6],MLino bench,10.1016/j.sysarc.2024.103262,Exported contract artifacts,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[6],MLino bench,10.1016/j.sysarc.2024.103262,On-device reporting,Explicitly reported,Focused review,"The tool accommodates various models, frameworks, and platforms, presenting a meticulous design that enables a comprehensive evaluation directly on the target device.",Check mark assigned only when explicit on-device reporting was identified in the reviewed paper.
[7],Quantization and Deployment,10.3390/s21092984,Replay-driven,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[7],Quantization and Deployment,10.3390/s21092984,Offline↔firmware,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[7],Quantization and Deployment,10.3390/s21092984,Stage-wise,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[7],Quantization and Deployment,10.3390/s21092984,Exported contract artifacts,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[7],Quantization and Deployment,10.3390/s21092984,On-device reporting,Explicitly reported,Focused review,A comparison study ... is provided in terms of memory and power efficiency. On-device evaluation is done using ARM Cortex-M4F-based microcontrollers.,Check mark assigned only when explicit on-device reporting was identified in the reviewed paper.
[8],Robustifying Deployment,10.3390/s21041339,Replay-driven,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[8],Robustifying Deployment,10.3390/s21041339,Offline↔firmware,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[8],Robustifying Deployment,10.3390/s21041339,Stage-wise,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[8],Robustifying Deployment,10.3390/s21041339,Exported contract artifacts,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[8],Robustifying Deployment,10.3390/s21041339,On-device reporting,Explicitly reported,Focused review,We introduce an online predictor ... trading accuracy and latency ... to minimise the inference’s energy consumption.,Check mark assigned only when explicit on-device reporting was identified in the reviewed paper.
[15],U-TOE,10.23919/PEMWN58813.2023.10304946,Replay-driven,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[15],U-TOE,10.23919/PEMWN58813.2023.10304946,Offline↔firmware,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[15],U-TOE,10.23919/PEMWN58813.2023.10304946,Stage-wise,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[15],U-TOE,10.23919/PEMWN58813.2023.10304946,Exported contract artifacts,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[15],U-TOE,10.23919/PEMWN58813.2023.10304946,On-device reporting,Explicitly reported,Focused review,"This implementation enables compilation, flashing, and evaluation of neural network models ... onto various low-power boards.",Check mark assigned only when explicit on-device reporting was identified in the reviewed paper.
[16],Evaluation Methodology,10.1016/j.iot.2023.100729,Replay-driven,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[16],Evaluation Methodology,10.1016/j.iot.2023.100729,Offline↔firmware,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[16],Evaluation Methodology,10.1016/j.iot.2023.100729,Stage-wise,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[16],Evaluation Methodology,10.1016/j.iot.2023.100729,Exported contract artifacts,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[16],Evaluation Methodology,10.1016/j.iot.2023.100729,On-device reporting,Explicitly reported,Focused review,"The frameworks measure latency, accuracy, and energy.",Check mark assigned only when explicit on-device reporting was identified in the reviewed paper.
[18],EdgeMark,10.1016/j.sysarc.2025.103488,Replay-driven,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[18],EdgeMark,10.1016/j.sysarc.2025.103488,Offline↔firmware,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[18],EdgeMark,10.1016/j.sysarc.2025.103488,Stage-wise,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[18],EdgeMark,10.1016/j.sysarc.2025.103488,Exported contract artifacts,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[18],EdgeMark,10.1016/j.sysarc.2025.103488,On-device reporting,Explicitly reported,Focused review,Experimental benchmarking results showcase the performance of widely used eAI tools across a wide range of models.,Check mark assigned only when explicit on-device reporting was identified in the reviewed paper.
[22],RIOT-ML,10.1007/s12243-024-01041-5,Replay-driven,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[22],RIOT-ML,10.1007/s12243-024-01041-5,Offline↔firmware,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[22],RIOT-ML,10.1007/s12243-024-01041-5,Stage-wise,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[22],RIOT-ML,10.1007/s12243-024-01041-5,Exported contract artifacts,Not explicitly identified in reviewed scope,,,Blank cells are descriptive only and indicate that this element was not explicitly identified in the focused review used to populate Table I.
[22],RIOT-ML,10.1007/s12243-024-01041-5,On-device reporting,Explicitly reported,Focused review,"... a toolkit to streamline continuous integration, continuous deployment and performance assessments ... on various low-power IoT hardware.",Check mark assigned only when explicit on-device reporting was identified in the reviewed paper.
